sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Polar Flow","225",,2017-03-11 19:47:13 +0200,2017-03-11 14:38:22 +0200,2017-03-11 15:07:03 +0200,"HKWorkoutActivityTypeSquash",28.68333333333333,"min",0,"km",493,"kcal"
"Polar Flow","281",,2017-05-26 17:13:44 +0200,2017-05-02 20:37:31 +0200,2017-05-02 20:37:37 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",0.1,"min",0,"km",1,"kcal"
"Polar Flow","281",,2017-05-26 17:13:44 +0200,2017-05-15 19:48:46 +0200,2017-05-15 20:36:52 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",48.1,"min",0,"km",797,"kcal"
"Polar Flow","281",,2017-05-26 17:13:44 +0200,2017-05-20 12:36:45 +0200,2017-05-20 13:26:29 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",49.73333333333333,"min",0,"km",760,"kcal"
"Polar Flow","281",,2017-05-26 17:13:44 +0200,2017-05-22 20:43:13 +0200,2017-05-22 20:43:17 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",0.06666666666666667,"min",0,"km",0,"kcal"
"Polar Flow","329",,2017-11-15 23:20:29 +0200,2017-11-13 22:00:34 +0200,2017-11-13 22:53:36 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",53.03333333333333,"min",0,"km",667,"kcal"
"Polar Flow","329",,2017-11-15 23:20:29 +0200,2017-11-15 22:05:45 +0200,2017-11-15 22:56:55 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",51.16666666666666,"min",0,"km",545,"kcal"
"Ziad’s Apple Watch","4.1",,2017-12-26 01:20:43 +0200,2017-12-26 01:16:58 +0200,2017-12-26 01:20:43 +0200,"HKWorkoutActivityTypeWalking",3.756532466411591,"min",0,"km",3.624000000000001,"kcal"
"Ziad’s Apple Watch","4.1",,2017-12-26 11:23:39 +0200,2017-12-26 11:05:31 +0200,2017-12-26 11:23:39 +0200,"HKWorkoutActivityTypeWalking",18.12739306688309,"min",0.9835794237149603,"km",74.21499999999979,"kcal"
"Ziad’s Apple Watch","4.1",,2017-12-28 11:12:08 +0200,2017-12-28 11:01:10 +0200,2017-12-28 11:12:07 +0200,"HKWorkoutActivityTypeWalking",10.95476260085901,"min",0.5760572767808917,"km",57.10400000000006,"kcal"
"Ziad’s Apple Watch","4.1",,2017-12-28 21:33:43 +0200,2017-12-28 20:47:13 +0200,2017-12-28 21:33:43 +0200,"HKWorkoutActivityTypeCycling",46.50118800004324,"min",0,"km",467.5689999999991,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-02 21:36:48 +0200,2018-01-02 20:49:16 +0200,2018-01-02 21:36:21 +0200,"HKWorkoutActivityTypeTraditionalStrengthTraining",47.07775211632251,"min",0,"km",311.0410000000001,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-03 21:41:07 +0200,2018-01-03 20:46:21 +0200,2018-01-03 21:41:06 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",54.75517193277677,"min",0,"km",608.0849999999998,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-04 21:40:38 +0200,2018-01-04 20:55:19 +0200,2018-01-04 21:40:38 +0200,"HKWorkoutActivityTypeCycling",45.31362664997577,"min",0,"km",545.2260000000009,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-06 19:34:37 +0200,2018-01-06 18:15:42 +0200,2018-01-06 19:34:36 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",78.9063186009725,"min",0,"km",1037.660999999987,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-08 23:35:46 +0200,2018-01-08 22:49:31 +0200,2018-01-08 23:35:45 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",46.24395498434703,"min",0,"km",677.6379999999989,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-10 21:40:34 +0200,2018-01-10 20:44:42 +0200,2018-01-10 21:40:33 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",55.8631589670976,"min",0,"km",679.5899999999949,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-11 22:49:08 +0200,2018-01-11 22:03:08 +0200,2018-01-11 22:49:07 +0200,"HKWorkoutActivityTypeCycling",45.97748968402545,"min",0,"km",485.3769999999991,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-13 19:33:27 +0200,2018-01-13 18:15:22 +0200,2018-01-13 19:33:26 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",78.06931941707929,"min",0,"km",1238.80700000002,"kcal"
"Ziad’s Apple Watch","4.1",,2018-01-16 23:37:19 +0200,2018-01-16 22:49:08 +0200,2018-01-16 23:37:18 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",48.16920543313027,"min",0,"km",738.2699999999923,"kcal"
